# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.9918027	4.3180393e-11	0	8.6419767e-19	-3.011907e-20	0	0.919	100	1e-09
0	0.7022252	0.7022133	0	8.765404e-19	-3.0158094e-20	0.7853982	0.919	100	1e-09
0	0.9918028	5.4289533e-09	0	8.641978e-19	-3.011907e-20	0	0.918	100	1e-09
0	0.702231	0.7022163	0	8.765405e-19	-3.0158285e-20	0.7853982	0.918	100	1e-09
0	0.99180275	6.453506e-09	0	8.6419777e-19	-3.011907e-20	0	0.917	100	1e-09
0	0.7022308	0.70221657	0	8.765405e-19	-3.015829e-20	0.7853982	0.917	100	1e-09
0	0.9918027	8.451581e-09	0	8.6419767e-19	-3.0119068e-20	0	0.916	100	1e-09
0	0.7022305	0.7022173	0	8.765403e-19	-3.0158298e-20	0.7853982	0.916	100	1e-09
0	0.9918029	2.3611824e-09	0	8.641978e-19	-3.011907e-20	0	0.915	100	1e-09
0	0.70222574	0.70221287	0	8.765405e-19	-3.01581e-20	0.7853982	0.915	100	1e-09
0	0.99178445	6.1616614e-09	0	8.634582e-19	-3.0086775e-20	0	0.914	100	1e-09
0	0.70226485	0.7022467	0	8.76443e-19	-3.0127886e-20	0.7853982	0.914	100	1e-09
0	0.9917843	9.409502e-09	0	8.6345817e-19	-3.008677e-20	0	0.913	100	1e-09
0	0.7022663	0.7022535	0	8.76443e-19	-3.012806e-20	0.7853982	0.913	100	1e-09
0	0.9917615	8.601211e-09	0	8.6268227e-19	-3.005434e-20	0	0.912	100	1e-09
0	0.70228714	0.70227236	0	8.761579e-19	-3.0097135e-20	0.7853982	0.912	100	1e-09
0	0.9917616	6.189804e-09	0	8.626824e-19	-3.005435e-20	0	0.911	100	1e-09
0	0.7022862	0.7022751	0	8.761579e-19	-3.0097164e-20	0.7853982	0.911	100	1e-09
0	0.9917615	3.5974423e-09	0	8.6268243e-19	-3.005434e-20	0	0.91	100	1e-09
0	0.702284	0.70226777	0	8.761579e-19	-3.009696e-20	0.7853982	0.91	100	1e-09
0	0.9917615	2.545156e-09	0	8.6268217e-19	-3.005434e-20	0	0.909	100	1e-09
0	0.7022881	0.7022723	0	8.76158e-19	-3.0097154e-20	0.7853982	0.909	100	1e-09
0	0.9917615	2.6769378e-09	0	8.626825e-19	-3.0054338e-20	0	0.908	100	1e-09
0	0.7022851	0.7022749	0	8.76158e-19	-3.009714e-20	0.7853982	0.908	100	1e-09
0	0.9917615	1.418128e-09	0	8.6268217e-19	-3.005434e-20	0	0.907	100	1e-09
0	0.7022865	0.70227504	0	8.76158e-19	-3.009717e-20	0.7853982	0.907	100	1e-09
0	0.9917615	4.3704302e-09	0	8.626822e-19	-3.005434e-20	0	0.906	100	1e-09
0	0.70228446	0.70227593	0	8.76158e-19	-3.0097148e-20	0.7853982	0.906	100	1e-09
0	0.9917615	9.653498e-09	0	8.626823e-19	-3.005434e-20	0	0.905	100	1e-09
0	0.7022848	0.7022666	0	8.76158e-19	-3.009696e-20	0.7853982	0.905	100	1e-09
0	0.9917616	4.2996224e-09	0	8.6268227e-19	-3.0054344e-20	0	0.904	100	1e-09
0	0.70228827	0.70227194	0	8.76158e-19	-3.0097148e-20	0.7853982	0.904	100	1e-09
0	0.99174696	4.713713e-09	0	8.619937e-19	-3.0022165e-20	0	0.903	100	1e-09
0	0.70232624	0.7023112	0	8.761234e-19	-3.006702e-20	0.7853982	0.903	100	1e-09
0	0.9918495	5.3584293e-09	0	8.628299e-19	-3.00094e-20	0	0.902	100	1e-09
0	0.70236045	0.7023465	0	8.76444e-19	-3.0052612e-20	0.7853982	0.902	100	1e-09
0	0.9918495	4.3202335e-09	0	8.6282987e-19	-3.00094e-20	0	0.901	100	1e-09
0	0.7023577	0.7023408	0	8.764441e-19	-3.0052435e-20	0.7853982	0.901	100	1e-09
0	0.9918491	4.4758646e-09	0	8.6282977e-19	-3.000939e-20	0	0.9	100	1e-09
0	0.70236105	0.70234734	0	8.76444e-19	-3.0052645e-20	0.7853982	0.9	100	1e-09
0	0.9918402	9.466063e-10	0	8.6226703e-19	-2.9977378e-20	0	0.899	100	1e-09
0	0.70237315	0.70235866	0	8.761669e-19	-3.0021364e-20	0.7853982	0.899	100	1e-09
0	0.99188185	2.5111655e-09	0	8.6221094e-19	-2.9946898e-20	0	0.898	100	1e-09
0	0.7024389	0.7024217	0	8.764671e-19	-2.9992325e-20	0.7853982	0.898	100	1e-09
0	0.99187505	5.357454e-09	0	8.610427e-19	-2.988321e-20	0	0.897	100	1e-09
0	0.7024829	0.7024663	0	8.759283e-19	-2.9930635e-20	0.7853982	0.897	100	1e-09
0	0.99187475	6.2793792e-09	0	8.6104275e-19	-2.9883205e-20	0	0.896	100	1e-09
0	0.7024854	0.7024728	0	8.759285e-19	-2.9930826e-20	0.7853982	0.896	100	1e-09
0	0.9918751	2.0337751e-09	0	8.6104285e-19	-2.988321e-20	0	0.895	100	1e-09
0	0.7024862	0.7024718	0	8.759284e-19	-2.993082e-20	0.7853982	0.895	100	1e-09
0	0.99187547	-2.0082107e-09	0	8.6053197e-19	-2.985148e-20	0	0.894	100	1e-09
0	0.70254445	0.7025294	0	8.760746e-19	-2.9901493e-20	0.7853982	0.894	100	1e-09
0	0.9918528	-4.266538e-09	0	8.5972753e-19	-2.9819063e-20	0	0.893	100	1e-09
0	0.70259887	0.70258915	0	8.76066e-19	-2.987213e-20	0.7853982	0.893	100	1e-09
0	0.9917379	2.478223e-09	0	8.5676855e-19	-2.9720402e-20	0	0.892	100	1e-09
