# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)	Length (nm)
0	-0.9399177	-0.3414013	0	1.1800238e-18	3.49	100
0	-0.9364566	-0.35078323	0	1.1800238e-18	3.5	100
0	-0.93290216	-0.36013013	0	1.1800238e-18	3.51	100
0	-0.9292542	-0.36944094	0	1.1800237e-18	3.52	100
0	-0.9255134	-0.37871483	0	1.1800236e-18	3.53	100
0	-0.9216801	-0.38795093	0	1.1800236e-18	3.54	100
0	-0.9177546	-0.3971482	0	1.1800236e-18	3.55	100
0	-0.9137374	-0.40630576	0	1.1800239e-18	3.56	100
0	-0.9096285	-0.41542262	0	1.1800236e-18	3.57	100
0	-0.9054289	-0.42449796	0	1.1800235e-18	3.58	100
0	-0.9011388	-0.4335309	0	1.1800237e-18	3.59	100
0	-0.8967585	-0.44252047	0	1.1800237e-18	3.6	100
0	-0.8922885	-0.45146573	0	1.1800237e-18	3.61	100
0	-0.8877294	-0.46036598	0	1.1800239e-18	3.62	100
0	-0.88308126	-0.46922007	0	1.180024e-18	3.63	100
0	-0.878345	-0.47802728	0	1.1800236e-18	3.64	100
0	-0.8735209	-0.48678672	0	1.1800236e-18	3.65	100
0	-0.86860937	-0.49549738	0	1.1800236e-18	3.66	100
0	-0.86361104	-0.50415856	0	1.1800236e-18	3.67	100
0	-0.8585266	-0.51276934	0	1.1800238e-18	3.68	100
0	-0.85335594	-0.52132887	0	1.1800236e-18	3.69	100
0	-0.8481001	-0.52983624	0	1.1800239e-18	3.7	100
0	-0.8427594	-0.5382905	0	1.1800235e-18	3.71	100
0	-0.83733445	-0.54669106	0	1.1800234e-18	3.72	100
0	-0.8318257	-0.55503696	0	1.1800235e-18	3.73	100
0	-0.8262338	-0.5633273	0	1.1800237e-18	3.74	100
0	-0.8205594	-0.5715614	0	1.1800237e-18	3.75	100
0	-0.8148027	-0.57973826	0	1.1800236e-18	3.76	100
0	-0.80896485	-0.5878572	0	1.1800237e-18	3.77	100
0	-0.8030459	-0.5959172	0	1.1800236e-18	3.78	100
0	-0.79704666	-0.6039177	0	1.1800237e-18	3.79	100
0	-0.7909677	-0.6118579	0	1.1800238e-18	3.8	100
0	-0.78480965	-0.6197368	0	1.1800234e-18	3.81	100
0	-0.77857333	-0.6275538	0	1.1800238e-18	3.82	100
0	-0.772259	-0.6353081	0	1.1800236e-18	3.83	100
0	-0.7658672	-0.6429988	0	1.1800236e-18	3.84	100
0	-0.75939924	-0.6506251	0	1.1800238e-18	3.85	100
0	-0.7528549	-0.6581865	0	1.1800235e-18	3.86	100
0	-0.74623567	-0.66568196	0	1.1800237e-18	3.87	100
