# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.99665403	-9.638129e-09	0	5.7013915e-19	-1.4718587e-20	0	0.9	70
0	0.70528954	0.70528555	0	5.756619e-19	-1.4730003e-20	0.7853982	0.9	70
0	0.9962566	-1.1655486e-08	0	5.5898865e-19	-1.4362036e-20	0	0.85	70
0	0.70575887	0.70575505	0	5.709183e-19	-1.4388482e-20	0.7853982	0.85	70
0	0.9962438	-1.7040227e-08	0	5.499929e-19	-1.3963353e-20	0	0.8	70
0	0.7061748	0.7061721	0	5.652978e-19	-1.39975e-20	0.7853982	0.8	70
0	0.9962102	-1.508064e-08	0	5.410463e-19	-1.35644e-20	0	0.75	70
0	0.70657516	0.70657337	0	5.5947813e-19	-1.3605745e-20	0.7853982	0.75	70
0	0.99631643	-1.3303637e-08	0	5.3220066e-19	-1.3103552e-20	0	0.7	70
0	0.70691967	0.70691854	0	5.523223e-19	-1.3148508e-20	0.7853982	0.7	70
0	0.99651647	-1.0879166e-08	0	5.241646e-19	-1.2611914e-20	0	0.65	70
0	0.7070584	0.70705795	0	5.4419406e-19	-1.265513e-20	0.7853982	0.65	70
0	0.9967632	-8.6472935e-09	0	5.1582166e-19	-1.2088746e-20	0	0.6	70
0	0.7067688	0.7067674	0	5.336146e-19	-1.2122194e-20	0.7853982	0.6	70
0	0.99709374	-1.667702e-08	0	5.061469e-19	-1.1470565e-20	0	0.55	70
0	0.70572466	0.7057209	0	5.184705e-19	-1.1481483e-20	0.7853982	0.55	70
0	0.9976673	-1.2793286e-08	0	4.993691e-19	-1.079077e-20	0	0.5	70
0	0.70293975	0.70292896	0	4.9934536e-19	-1.07521775e-20	0.7853982	0.5	70
0	0.9981561	-1.6276111e-08	0	4.928228e-19	-1.0125294e-20	0	0.45	70
0	0.6978805	0.6978637	0	4.7573773e-19	-1.00115204e-20	0.7853982	0.45	70
0	0.9985607	-1.4627337e-08	0	4.8038157e-19	-9.346528e-21	0	0.4	70
0	0.69198745	0.6919751	0	4.457941e-19	-9.159783e-21	0.7853982	0.4	70
0	0.99912107	-1.3825747e-08	0	4.7276634e-19	-8.4725485e-21	0	0.35	70
0	0.6800979	0.6800881	0	4.0549503e-19	-8.156037e-21	0.7853982	0.35	70
0	0.9994141	-1.4283568e-08	0	4.5680475e-19	-7.547576e-21	0	0.3	70
0	0.6688615	0.6688548	0	3.6009126e-19	-7.143498e-21	0.7853982	0.3	70
0	0.9997723	-1.01958975e-08	0	4.389194e-19	-6.4305364e-21	0	0.25	70
0	0.65192425	0.651922	0	3.0407855e-19	-5.9300364e-21	0.7853982	0.25	70
0	0.99985373	-4.7005693e-09	0	4.1279947e-19	-5.423206e-21	0	0.2	70
0	0.6409628	0.64096117	0	2.5511005e-19	-4.9166234e-21	0.7853982	0.2	70
0	0.99996763	-3.285081e-09	0	3.8069972e-19	-4.207864e-21	0	0.15	70
0	0.62101984	0.6210196	0	1.9392844e-19	-3.6956947e-21	0.7853982	0.15	70
0	0.9976695	-1.378809e-08	0	5.352673e-19	-1.3169237e-20	0	1	65
0	0.70492256	0.70492005	0	5.3106784e-19	-1.3159203e-20	0.7853982	1	65
0	0.9974208	-1.2137088e-08	0	5.275056e-19	-1.2926575e-20	0	0.95	65
0	0.7052402	0.70523816	0	5.2763814e-19	-1.29257714e-20	0.7853982	0.95	65
0	0.99727863	-8.365441e-09	0	5.1922153e-19	-1.2637515e-20	0	0.9	65
0	0.70551276	0.70551044	0	5.225372e-19	-1.2643413e-20	0.7853982	0.9	65
0	0.9971046	-1.4402538e-08	0	5.122679e-19	-1.23960035e-20	0	0.85	65
0	0.7058616	0.7058589	0	5.19474e-19	-1.24100825e-20	0.7853982	0.85	65
0	0.99711245	-1.2045271e-08	0	5.0278555e-19	-1.1997256e-20	0	0.8	65
0	0.70625377	0.70625156	0	5.1293723e-19	-1.2017467e-20	0.7853982	0.8	65
0	0.9971292	-1.2765872e-08	0	4.952705e-19	-1.16624235e-20	0	0.75	65
0	0.7065969	0.7065953	0	5.077533e-19	-1.1687552e-20	0.7853982	0.75	65
0	0.9970881	-1.0960445e-08	0	4.8734907e-19	-1.1310968e-20	0	0.7	65
0	0.70692015	0.70691955	0	5.023139e-19	-1.13410024e-20	0.7853982	0.7	65
0	0.99727863	-1.3000054e-08	0	4.7765917e-19	-1.0818477e-20	0	0.65	65
0	0.7070639	0.7070637	0	4.9253803e-19	-1.084734e-20	0.7853982	0.65	65
0	0.99747556	-7.677312e-09	0	4.697658e-19	-1.0357788e-20	0	0.6	65
0	0.70685667	0.70685565	0	4.8308594e-19	-1.038032e-20	0.7853982	0.6	65
0	0.9978599	-1.1445623e-08	0	4.633394e-19	-9.86684e-21	0	0.55	65
0	0.7060386	0.7060358	0	4.7132074e-19	-9.873043e-21	0.7853982	0.55	65
0	0.99814487	-1.60681e-08	0	4.555494e-19	-9.342636e-21	0	0.5	65
0	0.7041239	0.70411825	0	4.5614523e-19	-9.3204765e-21	0.7853982	0.5	65
0	0.9985569	-1.2823201e-08	0	4.467458e-19	-8.707418e-21	0	0.45	65
0	0.70025927	0.7002511	0	4.344038e-19	-8.6355055e-21	0.7853982	0.45	65
0	0.9988904	-1.3316981e-08	0	4.3407497e-19	-7.991124e-21	0	0.4	65
0	0.6948469	0.69483745	0	4.0653247e-19	-7.861242e-21	0.7853982	0.4	65
0	0.9992685	-1.3899734e-08	0	4.255611e-19	-7.274675e-21	0	0.35	65
0	0.6852167	0.6852074	0	3.7353437e-19	-7.054585e-21	0.7853982	0.35	65
0	0.99960166	-1.0105312e-08	0	4.111612e-19	-6.4454325e-21	0	0.3	65
0	0.67360365	0.6735994	0	3.3246348e-19	-6.1424708e-21	0.7853982	0.3	65
0	0.99974006	-9.671838e-09	0	3.9228172e-19	-5.566553e-21	0	0.25	65
0	0.6610223	0.66101897	0	2.8647408e-19	-5.205101e-21	0.7853982	0.25	65
0	0.99992543	-3.2140397e-09	0	3.7122336e-19	-4.5756594e-21	0	0.2	65
