# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	-0.6203552	0.78430307	0	-1.5623536e-16	-1.571978e-16	2.24	100
0	-0.62816685	0.77806056	0	-1.5623536e-16	-1.5719779e-16	2.25	100
0	-0.6359157	0.7717402	0	-1.5623536e-16	-1.5719777e-16	2.26	100
0	-0.64360106	0.7653427	0	-1.5623537e-16	-1.5719779e-16	2.27	100
0	-0.6512219	0.7588687	0	-1.5623537e-16	-1.5719779e-16	2.28	100
0	-0.65877765	0.7523188	0	-1.5623537e-16	-1.5719779e-16	2.29	100
0	-0.66626763	0.7456937	0	-1.5623535e-16	-1.5719777e-16	2.3	100
0	-0.673691	0.738994	0	-1.5623536e-16	-1.5719776e-16	2.31	100
0	-0.68104684	0.73222035	0	-1.5623536e-16	-1.5719775e-16	2.32	100
0	-0.68833476	0.72537357	0	-1.5623537e-16	-1.5719775e-16	2.33	100
0	-0.69555366	0.7184543	0	-1.5623537e-16	-1.5719775e-16	2.34	100
0	-0.7027032	0.7114631	0	-1.5623539e-16	-1.5719777e-16	2.35	100
0	-0.70978236	0.7044008	0	-1.5623537e-16	-1.5719776e-16	2.36	100
0	-0.7167907	0.69726807	0	-1.5623537e-16	-1.5719775e-16	2.37	100
0	-0.7237271	0.6900656	0	-1.5623537e-16	-1.5719779e-16	2.38	100
0	-0.7305913	0.68279415	0	-1.5623537e-16	-1.5719776e-16	2.39	100
0	-0.7373825	0.67545444	0	-1.5623537e-16	-1.5719779e-16	2.4	100
0	-0.74409986	0.66804713	0	-1.5623537e-16	-1.5719775e-16	2.41	100
0	-0.75074285	0.66057307	0	-1.5623536e-16	-1.5719776e-16	2.42	100
0	-0.75731087	0.65303296	0	-1.5623539e-16	-1.5719779e-16	2.43	100
0	-0.763803	0.6454275	0	-1.5623536e-16	-1.5719776e-16	2.44	100
0	-0.77021885	0.63775754	0	-1.5623537e-16	-1.5719779e-16	2.45	100
0	-0.7765577	0.6300238	0	-1.5623535e-16	-1.5719777e-16	2.46	100
0	-0.78281885	0.622227	0	-1.5623536e-16	-1.5719779e-16	2.47	100
0	-0.78900176	0.6143681	0	-1.5623536e-16	-1.571978e-16	2.48	100
0	-0.7951058	0.6064477	0	-1.5623533e-16	-1.5719779e-16	2.49	100
0	-0.80113024	0.5984666	0	-1.5623532e-16	-1.5719779e-16	2.5	100
0	-0.8070747	0.5904257	0	-1.5623536e-16	-1.5719783e-16	2.51	100
0	-0.8129384	0.58232576	0	-1.5623535e-16	-1.5719783e-16	2.52	100
0	-0.8187208	0.57416755	0	-1.5623532e-16	-1.571978e-16	2.53	100
0	-0.8244214	0.56595194	0	-1.562353e-16	-1.5719781e-16	2.54	100
0	-0.8300395	0.5576798	0	-1.5623532e-16	-1.5719784e-16	2.55	100
0	-0.83557457	0.5493518	0	-1.5623528e-16	-1.5719781e-16	2.56	100
0	-0.8410262	0.5409689	0	-1.5623527e-16	-1.5719781e-16	2.57	100
0	-0.8463938	0.5325319	0	-1.5623527e-16	-1.5719784e-16	2.58	100
0	-0.8516766	0.5240416	0	-1.5623528e-16	-1.5719784e-16	2.59	100
0	-0.85687435	0.51549894	0	-1.5623528e-16	-1.5719787e-16	2.6	100
0	-0.86198634	0.5069047	0	-1.5623524e-16	-1.5719784e-16	2.61	100
0	-0.86701214	0.4982598	0	-1.5623527e-16	-1.5719788e-16	2.62	100
0	-0.8719513	0.48956507	0	-1.5623523e-16	-1.5719787e-16	2.63	100
0	-0.8768032	0.4808213	0	-1.5623524e-16	-1.5719788e-16	2.64	100
0	-0.8815676	0.47202957	0	-1.5623523e-16	-1.5719789e-16	2.65	100
0	-0.88624364	0.4631905	0	-1.562352e-16	-1.5719788e-16	2.66	100
0	-0.8908312	0.45430514	0	-1.5623521e-16	-1.5719792e-16	2.67	100
0	-0.8953296	0.4453743	0	-1.562352e-16	-1.5719793e-16	2.68	100
0	-0.8997386	0.436399	0	-1.562352e-16	-1.5719793e-16	2.69	100
0	-0.90405744	0.42738006	0	-1.562352e-16	-1.5719796e-16	2.7	100
0	-0.90828604	0.41831827	0	-1.562352e-16	-1.5719797e-16	2.71	100
0	-0.9124238	0.40921474	0	-1.5623513e-16	-1.5719793e-16	2.72	100
0	-0.9164702	0.40007022	0	-1.5623515e-16	-1.5719797e-16	2.73	100
0	-0.9204252	0.39088574	0	-1.5623512e-16	-1.5719795e-16	2.74	100
0	-0.9242879	0.3816621	0	-1.5623512e-16	-1.5719797e-16	2.75	100
0	-0.92805827	0.37240028	0	-1.5623512e-16	-1.5719799e-16	2.76	100
0	-0.931736	0.36310124	0	-1.5623511e-16	-1.5719797e-16	2.77	100
0	-0.93532044	0.3537659	0	-1.5623511e-16	-1.5719801e-16	2.78	100
0	-0.93881124	0.34439513	0	-1.5623508e-16	-1.5719801e-16	2.79	100
0	-0.94220823	0.3349899	0	-1.5623507e-16	-1.5719801e-16	2.8	100
0	-0.94551104	0.3255512	0	-1.5623507e-16	-1.5719803e-16	2.81	100
0	-0.9487193	0.31607994	0	-1.5623506e-16	-1.5719803e-16	2.82	100
0	-0.95183265	0.30657706	0	-1.5623504e-16	-1.5719804e-16	2.83	100
0	-0.95485085	0.29704347	0	-1.5623502e-16	-1.5719804e-16	2.84	100
0	-0.9577736	0.28748018	0	-1.5623502e-16	-1.5719805e-16	2.85	100
0	-0.9606006	0.27788815	0	-1.5623502e-16	-1.5719807e-16	2.86	100
0	-0.96333146	0.26826835	0	-1.5623498e-16	-1.5719804e-16	2.87	100
0	-0.965966	0.25862163	0	-1.5623498e-16	-1.5719807e-16	2.88	100
0	-0.968504	0.24894908	0	-1.5623499e-16	-1.5719808e-16	2.89	100
0	-0.9709451	0.23925164	0	-1.5623496e-16	-1.5719807e-16	2.9	100
0	-0.973289	0.22953026	0	-1.5623495e-16	-1.5719807e-16	2.91	100
0	-0.97553575	0.2197859	0	-1.5623498e-16	-1.5719812e-16	2.92	100
0	-0.9776849	0.21001954	0	-1.5623492e-16	-1.5719807e-16	2.93	100
0	-0.97973627	0.20023221	0	-1.5623495e-16	-1.571981e-16	2.94	100
0	-0.98168963	0.1904248	0	-1.5623492e-16	-1.5719809e-16	2.95	100
0	-0.9835448	0.18059836	0	-1.5623492e-16	-1.5719814e-16	2.96	100
0	-0.9853016	0.17075388	0	-1.5623492e-16	-1.5719812e-16	2.97	100
0	-0.98695993	0.1608923	0	-1.5623494e-16	-1.5719816e-16	2.98	100
0	-0.9885195	0.15101461	0	-1.5623492e-16	-1.5719814e-16	2.99	100
0	-0.9899803	0.1411218	0	-1.5623491e-16	-1.5719816e-16	3	100
0	-0.991342	0.1312149	0	-1.562349e-16	-1.5719816e-16	3.01	100
0	-0.9926047	0.12129487	0	-1.5623487e-16	-1.5719816e-16	3.02	100
0	-0.9937679	0.11136269	0	-1.5623488e-16	-1.5719816e-16	3.03	100
0	-0.994832	0.10141937	0	-1.5623491e-16	-1.5719818e-16	3.04	100
0	-0.9957965	0.09146591	0	-1.5623487e-16	-1.5719817e-16	3.05	100
0	-0.9966613	0.08150329	0	-1.5623488e-16	-1.5719817e-16	3.06	100
0	-0.9974265	0.07153252	0	-1.5623488e-16	-1.5719817e-16	3.07	100
0	-0.998092	0.061554592	0	-1.5623488e-16	-1.5719818e-16	3.08	100
0	-0.99865764	0.051570505	0	-1.5623487e-16	-1.5719817e-16	3.09	100
0	-0.9991236	0.041581266	0	-1.5623487e-16	-1.5719816e-16	3.1	100
0	-0.9994893	0.031587858	0	-1.5623487e-16	-1.5719817e-16	3.11	100
0	-0.99975526	0.02159129	0	-1.5623483e-16	-1.5719814e-16	3.12	100
0	-0.9999211	0.011592563	0	-1.5623488e-16	-1.5719818e-16	3.13	100
0	-0.99998707	0.0015926762	0	-1.5623487e-16	-1.571982e-16	3.14	100
0	-0.99995303	-0.008407369	0	-1.5623487e-16	-1.5719818e-16	3.15	100
0	-0.999819	-0.018406572	0	-1.5623484e-16	-1.5719816e-16	3.16	100
0	-0.9995849	-0.028403942	0	-1.5623486e-16	-1.5719816e-16	3.17	100
0	-0.9992509	-0.03839846	0	-1.5623488e-16	-1.571982e-16	3.18	100
0	-0.998817	-0.048389137	0	-1.5623486e-16	-1.5719816e-16	3.19	100
0	-0.9982831	-0.05837498	0	-1.562349e-16	-1.571982e-16	3.2	100
0	-0.99764943	-0.06835498	0	-1.5623488e-16	-1.5719817e-16	3.21	100
0	-0.996916	-0.078328125	0	-1.562349e-16	-1.5719817e-16	3.22	100
0	-0.99608284	-0.088293456	0	-1.5623487e-16	-1.5719816e-16	3.23	100
0	-0.99515	-0.098249935	0	-1.5623491e-16	-1.5719817e-16	3.24	100
