# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.69669014	0.71733916	0	-1.017476e-16	-1.02557565e-16	0.8	44.6
0	0.6215945	0.7833088	0	-1.01747616e-16	-1.0255755e-16	0.9	44.6
0	0.54028815	0.8414517	0	-1.0174762e-16	-1.02557545e-16	1	44.6
0	0.45358348	0.8911867	0	-1.0174762e-16	-1.0255751e-16	1.1	44.6
0	0.36234698	0.93201715	0	-1.01747656e-16	-1.0255749e-16	1.2	44.6
0	0.26749042	0.9635349	0	-1.0174767e-16	-1.0255746e-16	1.3	44.6
0	0.16996153	0.98542523	0	-1.0174769e-16	-1.0255743e-16	1.4	44.6
0	0.07073481	0.99746996	0	-1.01747695e-16	-1.0255741e-16	1.5	44.6
0	-0.029198531	0.9995485	0	-1.0174772e-16	-1.0255743e-16	1.6	44.6
0	-0.1288402	0.9916402	0	-1.0174769e-16	-1.0255743e-16	1.7	44.6
0	-0.2271948	0.97382385	0	-1.0174768e-16	-1.0255745e-16	1.8	44.6
0	-0.32327965	0.94627756	0	-1.0174767e-16	-1.0255748e-16	1.9	44.6
0	-0.41613492	0.9092761	0	-1.0174764e-16	-1.0255751e-16	2	44.6
0	-0.5048325	0.8631896	0	-1.01747616e-16	-1.0255753e-16	2.1	44.6
0	-0.5884862	0.8084779	0	-1.017476e-16	-1.0255755e-16	2.2	44.6
0	-0.6662599	0.74568784	0	-1.017476e-16	-1.0255757e-16	2.3	44.6
0	-0.73737645	0.6754469	0	-1.017476e-16	-1.0255757e-16	2.4	44.6
0	-0.80112517	0.5984571	0	-1.0174762e-16	-1.02557565e-16	2.5	44.6
0	-0.85686904	0.51548755	0	-1.01747616e-16	-1.0255753e-16	2.6	44.6
0	-0.904051	0.4273677	0	-1.0174763e-16	-1.025575e-16	2.7	44.6
0	-0.9421999	0.33497804	0	-1.0174764e-16	-1.0255746e-16	2.8	44.6
0	-0.9709345	0.23924169	0	-1.0174767e-16	-1.0255744e-16	2.9	44.6
0	-0.98996794	0.14111531	0	-1.0174771e-16	-1.0255745e-16	3	44.6
0	-0.99911	0.041579254	0	-1.01747676e-16	-1.02557386e-16	3.1	44.6
0	-0.9982696	-0.058372166	0	-1.0174771e-16	-1.0255742e-16	3.2	44.6
0	-0.9874553	-0.15774049	0	-1.01747715e-16	-1.0255743e-16	3.3	44.6
0	-0.9667747	-0.25553298	0	-1.0174767e-16	-1.0255746e-16	3.4	44.6
0	-0.9364345	-0.35077274	0	-1.0174765e-16	-1.0255748e-16	3.5	44.6
0	-0.89673764	-0.44250798	0	-1.0174764e-16	-1.02557525e-16	3.6	44.6
0	-0.8480805	-0.5298222	0	-1.01747616e-16	-1.02557545e-16	3.7	44.6
0	-0.79094946	-0.6118426	0	-1.01747596e-16	-1.0255755e-16	3.8	44.6
0	-0.7259152	-0.6877497	0	-1.0174761e-16	-1.02557585e-16	3.9	44.6
0	-0.65362775	-0.7567849	0	-1.01747596e-16	-1.02557565e-16	4	44.6
0	-0.5748093	-0.8182582	0	-1.0174761e-16	-1.0255755e-16	4.1	44.6
0	-0.49024752	-0.8715556	0	-1.0174762e-16	-1.0255753e-16	4.2	44.6
0	-0.40078753	-0.91614443	0	-1.0174764e-16	-1.025575e-16	4.3	44.6
0	-0.30732343	-0.9515792	0	-1.0174767e-16	-1.0255747e-16	4.4	44.6
0	-0.21078898	-0.9775061	0	-1.0174768e-16	-1.0255744e-16	4.5	44.6
0	-0.11214877	-0.9936662	0	-1.01747695e-16	-1.0255742e-16	4.6	44.6
0	-0.012388242	-0.99989814	0	-1.017477e-16	-1.0255741e-16	4.7	44.6
0	0.08749602	-0.9961395	0	-1.017477e-16	-1.0255742e-16	4.8	44.6
0	0.1865063	-0.9824284	0	-1.01747695e-16	-1.0255744e-16	4.9	44.6
0	0.28365332	-0.95890117	0	-1.01747676e-16	-1.0255746e-16	5	44.6
0	0.3779666	-0.9257929	0	-1.01747656e-16	-1.0255749e-16	5.1	44.6
0	0.4685037	-0.8834342	0	-1.01747616e-16	-1.0255751e-16	5.2	44.6
0	0.55436	-0.83224833	0	-1.01747616e-16	-1.02557565e-16	5.3	44.6
0	0.6346773	-0.7727466	0	-1.01747596e-16	-1.02557565e-16	5.4	44.6
0	0.70865303	-0.7055236	0	-1.0174758e-16	-1.02557565e-16	5.5	44.6
0	0.77554786	-0.63125104	0	-1.0174761e-16	-1.0255757e-16	5.6	44.6
0	0.8346937	-0.55067116	0	-1.0174763e-16	-1.02557565e-16	5.7	44.6
