# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	-0.57481664	-0.8171189	0	-1.200952e-16	2.5222412e-19	-1.2121403e-16	4.098797	0.1	0.01	1.1780972
0	-0.5495939	-0.83399236	0	-1.202677e-16	2.537601e-19	-1.2138559e-16	4.12334	0.1	0.01	1.1780972
0	-0.5243295	-0.84979045	0	-1.204179e-16	2.550348e-19	-1.2153438e-16	4.147884	0.1	0.01	1.1780972
0	-0.4990634	-0.864553	0	-1.2054905e-16	2.5606195e-19	-1.2166378e-16	4.1724277	0.1	0.01	1.1780972
0	-0.4738471	-0.8783121	0	-1.2066503e-16	2.568541e-19	-1.2177765e-16	4.1969714	0.1	0.01	1.1780972
0	-0.44874364	-0.8910929	0	-1.2077021e-16	2.574236e-19	-1.2188047e-16	4.221515	0.1	0.01	1.1780972
0	-0.42372644	-0.90296257	0	-1.208647e-16	2.577839e-19	-1.2197244e-16	4.246059	0.1	0.01	1.1780972
0	-0.39880383	-0.9139636	0	-1.2095015e-16	2.5794588e-19	-1.2205521e-16	4.2706027	0.1	0.01	1.1780972
0	-0.37393108	-0.92415476	0	-1.2102555e-16	2.5791923e-19	-1.2212779e-16	4.295146	0.1	0.01	1.1780972
0	-0.34928668	-0.9335039	0	-1.2110074e-16	2.577139e-19	-1.222001e-16	4.3196898	0.1	0.01	1.1780972
0	-0.32460237	-0.9421443	0	-1.2116351e-16	2.573353e-19	-1.2225995e-16	4.3442335	0.1	0.01	1.1780972
0	-0.3001695	-0.95000464	0	-1.2122935e-16	2.5679507e-19	-1.2232286e-16	4.3687773	0.1	0.01	1.1780972
0	-0.27566653	-0.95721257	0	-1.2128311e-16	2.5609194e-19	-1.2237367e-16	4.393321	0.1	0.01	1.1780972
0	-0.25125325	-0.9637381	0	-1.2133364e-16	2.552346e-19	-1.2242124e-16	4.417865	0.1	0.01	1.1780972
0	-0.22691219	-0.9696054	0	-1.2138089e-16	2.542271e-19	-1.2246557e-16	4.4424086	0.1	0.01	1.1780972
0	-0.20266908	-0.9748268	0	-1.2142698e-16	2.5307487e-19	-1.2250877e-16	4.466952	0.1	0.01	1.1780972
0	-0.17844355	-0.97943336	0	-1.2146861e-16	2.5177747e-19	-1.2254755e-16	4.4914956	0.1	0.01	1.1780972
0	-0.1542556	-0.9834321	0	-1.2150756e-16	2.5033848e-19	-1.225837e-16	4.5160394	0.1	0.01	1.1780972
0	-0.1301407	-0.9868283	0	-1.2154637e-16	2.4876268e-19	-1.2261976e-16	4.540583	0.1	0.01	1.1780972
0	-0.106057756	-0.9896373	0	-1.2158368e-16	2.470497e-19	-1.226544e-16	4.565127	0.1	0.01	1.1780972
0	-0.08200268	-0.9918666	0	-1.2161997e-16	2.4520092e-19	-1.2268806e-16	4.5896707	0.1	0.01	1.1780972
0	-0.057990167	-0.993521	0	-1.2165671e-16	2.4321891e-19	-1.2272224e-16	4.6142144	0.1	0.01	1.1780972
0	-0.03400267	-0.99460655	0	-1.2169369e-16	2.4110348e-19	-1.2275673e-16	4.6387577	0.1	0.01	1.1780972
0	-0.010039397	-0.99512714	0	-1.2173159e-16	2.3885536e-19	-1.227922e-16	4.6633015	0.1	0.01	1.1780972
0	0.013897872	-0.995085	0	-1.2177112e-16	2.364753e-19	-1.2282939e-16	4.687845	0.1	0.01	1.1780972
0	0.03781555	-0.99448186	0	-1.2181268e-16	2.339631e-19	-1.2286864e-16	4.712389	0.1	0.01	1.1780972
0	0.061714433	-0.99331784	0	-1.218569e-16	2.3131868e-19	-1.2291065e-16	4.7369328	0.1	0.01	1.1780972
0	0.08559494	-0.99159265	0	-1.2190441e-16	2.2854194e-19	-1.22956e-16	4.7614765	0.1	0.01	1.1780972
0	0.10946371	-0.98930365	0	-1.2195562e-16	2.2563163e-19	-1.230051e-16	4.7860203	0.1	0.01	1.1780972
0	0.13330233	-0.98645055	0	-1.2201208e-16	2.2258944e-19	-1.2305951e-16	4.8105636	0.1	0.01	1.1780972
0	0.15715453	-0.9830238	0	-1.2207226e-16	2.1940883e-19	-1.2311771e-16	4.8351073	0.1	0.01	1.1780972
0	0.18097022	-0.9790257	0	-1.2213941e-16	2.1609522e-19	-1.2318293e-16	4.859651	0.1	0.01	1.1780972
0	0.2048076	-0.9744399	0	-1.2221128e-16	2.1263904e-19	-1.2325289e-16	4.884195	0.1	0.01	1.1780972
0	0.22863209	-0.9692647	0	-1.2229032e-16	2.090432e-19	-1.2333006e-16	4.9087386	0.1	0.01	1.1780972
0	0.25247538	-0.9634834	0	-1.2237568e-16	2.0530066e-19	-1.2341357e-16	4.9332824	0.1	0.01	1.1780972
0	0.27632275	-0.9570876	0	-1.2246887e-16	2.014108e-19	-1.2350492e-16	4.957826	0.1	0.01	1.1780972
0	0.30022666	-0.9500487	0	-1.22568e-16	1.9736162e-19	-1.2360221e-16	4.9823694	0.1	0.01	1.1780972
0	0.32404962	-0.9423928	0	-1.2268072e-16	1.9317304e-19	-1.2371308e-16	5.006913	0.1	0.01	1.1780972
0	0.34807402	-0.93400913	0	-1.2279402e-16	1.887905e-19	-1.2382449e-16	5.031457	0.1	0.01	1.1780972
0	0.37196326	-0.9249919	0	-1.2292523e-16	1.8426994e-19	-1.2395374e-16	5.0560007	0.1	0.01	1.1780972
