# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	-0.95869815	-0.28442565	0	9.700908e-19	3.43
0	-0.95580596	-0.2939983	0	9.702721e-19	3.44
0	-0.9528182	-0.30354154	0	9.704563e-19	3.45
0	-0.9497352	-0.31305438	0	9.706429e-19	3.46
0	-0.9465572	-0.3225359	0	9.708319e-19	3.47
0	-0.9432847	-0.33198518	0	9.71023e-19	3.48
0	-0.9399177	-0.3414013	0	9.712156e-19	3.49
0	-0.9364567	-0.35078323	0	9.714098e-19	3.5
0	-0.9329021	-0.3601301	0	9.716048e-19	3.51
0	-0.92925423	-0.36944094	0	9.718006e-19	3.52
0	-0.92551345	-0.37871486	0	9.719968e-19	3.53
0	-0.9216801	-0.387951	0	9.721934e-19	3.54
0	-0.9177545	-0.3971482	0	9.723897e-19	3.55
0	-0.91373724	-0.40630573	0	9.725857e-19	3.56
0	-0.90962845	-0.41542262	0	9.727806e-19	3.57
0	-0.9054288	-0.42449793	0	9.729745e-19	3.58
0	-0.9011387	-0.43353084	0	9.73167e-19	3.59
0	-0.8967584	-0.44252047	0	9.733576e-19	3.6
0	-0.89228845	-0.4514658	0	9.735464e-19	3.61
0	-0.88772935	-0.46036598	0	9.737329e-19	3.62
0	-0.88308126	-0.46922007	0	9.739166e-19	3.63
0	-0.87834495	-0.4780273	0	9.740973e-19	3.64
0	-0.8735209	-0.48678666	0	9.742747e-19	3.65
0	-0.8686094	-0.4954974	0	9.744486e-19	3.66
0	-0.8636111	-0.5041586	0	9.74619e-19	3.67
0	-0.8585265	-0.51276934	0	9.747853e-19	3.68
0	-0.8533559	-0.5213288	0	9.749469e-19	3.69
0	-0.8481002	-0.5298362	0	9.751044e-19	3.7
0	-0.8427593	-0.5382905	0	9.752567e-19	3.71
0	-0.83733445	-0.54669106	0	9.754039e-19	3.72
0	-0.8318257	-0.55503696	0	9.75546e-19	3.73
0	-0.82623386	-0.56332725	0	9.756824e-19	3.74
0	-0.8205594	-0.57156134	0	9.758132e-19	3.75
0	-0.81480277	-0.5797382	0	9.759379e-19	3.76
0	-0.8089648	-0.5878571	0	9.760567e-19	3.77
0	-0.80304587	-0.5959172	0	9.761687e-19	3.78
0	-0.7970467	-0.6039178	0	9.762745e-19	3.79
0	-0.7909677	-0.6118579	0	9.763735e-19	3.8
0	-0.7848097	-0.61973685	0	9.764656e-19	3.81
0	-0.7785732	-0.6275538	0	9.76551e-19	3.82
0	-0.7722589	-0.6353081	0	9.76629e-19	3.83
0	-0.76586723	-0.6429988	0	9.766994e-19	3.84
0	-0.7593991	-0.65062505	0	9.767628e-19	3.85
0	-0.75285494	-0.6581865	0	9.768184e-19	3.86
0	-0.7462356	-0.665682	0	9.768668e-19	3.87
0	-0.73954153	-0.67311096	0	9.769073e-19	3.88
0	-0.73277354	-0.6804726	0	9.769402e-19	3.89
0	-0.72593236	-0.68776625	0	9.769652e-19	3.9
0	-0.7190185	-0.69499093	0	9.769824e-19	3.91
0	-0.71203274	-0.70214635	0	9.769918e-19	3.92
0	-0.7049757	-0.7092314	0	9.769935e-19	3.93
0	-0.6978483	-0.7162455	0	9.769871e-19	3.94
