# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-Msat (kA/m)
0	-0.44467682	0.6109345	0	-2.357064e-17	-2.5846797e-17	3.1415927	1.5707964	1.5707964	-0.9878364	-0.09972474	0	-0.34353524	0.9328844	0	-0.0026587	0.999644	0	0.66	100	2e-09	-100	800
0	-0.55628884	0.54137737	0	-2.3568884e-17	-2.5846833e-17	3.1415927	3.1415927	1.5707964	-0.9905735	-0.06610654	0	-0.67669	0.69059306	0	-0.0016027314	0.9996455	0	0.66	100	2e-09	-100	800
0	-0.55628794	0.5413776	0	-2.3568887e-17	-2.5846835e-17	3.1415927	4.712389	1.5707964	-0.9905735	-0.06610846	0	-0.6766877	0.69059575	0	-0.0016027414	0.9996455	0	0.66	100	2e-09	-100	800
0	-0.08455315	0.33036277	0	-2.3565515e-17	-2.584681e-17	4.712389	0	1.5707964	-0.09309948	-0.988658	0	-0.15841404	0.98010176	0	-0.002145974	0.9996445	0	0.66	100	2e-09	-100	800
0	-0.08453779	0.33036256	0	-2.3565515e-17	-2.584681e-17	4.712389	1.5707964	1.5707964	-0.09306781	-0.988661	0	-0.15839957	0.98010415	0	-0.002145996	0.99964446	0	0.66	100	2e-09	-100	800
0	-0.08477879	0.33036795	0	-2.3565515e-17	-2.5846807e-17	4.712389	3.1415927	1.5707964	-0.09358541	-0.9886133	0	-0.15860525	0.9800726	0	-0.002145721	0.9996445	0	0.66	100	2e-09	-100	800
0	-0.08455175	0.33036286	0	-2.3565515e-17	-2.584681e-17	4.712389	4.712389	1.5707964	-0.09309746	-0.9886582	0	-0.15841182	0.98010224	0	-0.0021459789	0.9996445	0	0.66	100	2e-09	-100	800
0	0.3281426	0.62039804	0	-2.6537163e-17	-2.9074803e-17	0	0	1.5707964	0.9844542	-0.12899964	0	0.0025350328	0.99064755	0	-0.002561492	0.99954623	0	0.66	100	2e-09	-100	900
0	0.32814246	0.62039745	0	-2.653716e-17	-2.90748e-17	0	1.5707964	1.5707964	0.98445386	-0.12900154	0	0.0025348386	0.9906477	0	-0.00256149	0.99954623	0	0.66	100	2e-09	-100	900
0	0.32812053	0.6204141	0	-2.6537163e-17	-2.9074803e-17	0	3.1415927	1.5707964	0.98446023	-0.12895212	0	0.0024626488	0.9906483	0	-0.002561327	0.9995463	0	0.66	100	2e-09	-100	900
0	0.32814524	0.62041664	0	-2.653716e-17	-2.9074803e-17	0	4.712389	1.5707964	0.98446125	-0.12894377	0	0.0025359315	0.9906475	0	-0.002561528	0.9995463	0	0.66	100	2e-09	-100	900
0	-0.10549264	0.9861403	0	-2.652884e-17	-2.9074743e-17	1.5707964	0	1.5707964	-0.12973084	0.984225	0	-0.18337616	0.9746514	0	-0.003370936	0.9995442	0	0.66	100	2e-09	-100	900
0	-0.10546622	0.986144	0	-2.6528844e-17	-2.9074743e-17	1.5707964	1.5707964	1.5707964	-0.12967235	0.9842325	0	-0.18335538	0.9746551	0	-0.0033709684	0.99954426	0	0.66	100	2e-09	-100	900
0	-0.105827786	0.9860932	0	-2.652884e-17	-2.9074743e-17	1.5707964	3.1415927	1.5707964	-0.13047312	0.98413	0	-0.18363972	0.97460544	0	-0.0033705204	0.9995442	0	0.66	100	2e-09	-100	900
0	-0.105825946	0.9860936	0	-2.6528844e-17	-2.9074743e-17	1.5707964	4.712389	1.5707964	-0.13046902	0.98413056	0	-0.18363826	0.97460574	0	-0.0033705228	0.9995443	0	0.66	100	2e-09	-100	900
0	-0.4449368	0.6110287	0	-2.6603644e-17	-2.907476e-17	3.1415927	0	1.5707964	-0.9879122	-0.0990101	0	-0.3442369	0.93255156	0	-0.0026614375	0.9995448	0	0.66	100	2e-09	-100	900
0	-0.44492745	0.6110537	0	-2.6603644e-17	-2.907476e-17	3.1415927	1.5707964	1.5707964	-0.98791826	-0.098947644	0	-0.34420243	0.932564	0	-0.0026615807	0.9995448	0	0.66	100	2e-09	-100	900
0	-0.5515613	0.5456622	0	-2.6600865e-17	-2.9074783e-17	3.1415927	3.1415927	1.5707964	-0.99046403	-0.0678298	0	-0.6625336	0.7052709	0	-0.0016862815	0.9995457	0	0.66	100	2e-09	-100	900
0	-0.5515615	0.54566205	0	-2.6600865e-17	-2.9074786e-17	3.1415927	4.712389	1.5707964	-0.9904641	-0.067829765	0	-0.66253406	0.70527023	0	-0.001686279	0.9995457	0	0.66	100	2e-09	-100	900
0	-0.09079286	0.33007765	0	-2.6596135e-17	-2.907477e-17	4.712389	0	1.5707964	-0.1023319	-0.9877659	0	-0.16792233	0.97845364	0	-0.0021243552	0.9995451	0	0.66	100	2e-09	-100	900
0	-0.0907946	0.3300778	0	-2.6596135e-17	-2.9074767e-17	4.712389	1.5707964	1.5707964	-0.10233649	-0.9877654	0	-0.16792297	0.9784535	0	-0.0021243566	0.99954516	0	0.66	100	2e-09	-100	900
0	-0.09103274	0.33008507	0	-2.6596135e-17	-2.907477e-17	4.712389	3.1415927	1.5707964	-0.1028595	-0.9877126	0	-0.16811462	0.9784226	0	-0.00212413	0.99954516	0	0.66	100	2e-09	-100	900
0	0.32809815	0.6203775	0	-2.6537163e-17	-2.9074803e-17	4.712389	4.712389	1.5707964	0.98444617	-0.12906274	0	0.0024094274	0.9906489	0	-0.002561118	0.99954623	0	0.66	100	2e-09	-100	900
0	0.32357913	0.619761	0	-2.953802e-17	-3.230174e-17	0	0	1.5707964	0.984258	-0.13051495	0	-0.010997552	0.99036276	0	-0.0025230325	0.99943507	0	0.66	100	2e-09	-100	1e+03
0	0.32357824	0.61975455	0	-2.9538024e-17	-3.230174e-17	0	1.5707964	1.5707964	0.9842555	-0.13053416	0	-0.010997859	0.9903629	0	-0.0025230204	0.99943495	0	0.66	100	2e-09	-100	1e+03
0	0.32354188	0.619715	0	-2.953802e-17	-3.2301737e-17	0	3.1415927	1.5707964	0.98424023	-0.1306529	0	-0.011091847	0.9903629	0	-0.0025226967	0.99943507	0	0.66	100	2e-09	-100	1e+03
