# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	0.02839835	0.98616195	0	-2.3421895e-17	-2.5848074e-17	1.5707964	1.5707964	1.5707964	-0.11582916	0.9861131	0	0.19989209	0.9726792	0	0.001132122	0.99969345	0	0.66	100	2e-09	-100	-40
0	-0.33165544	0.65189505	0	-2.3471725e-17	-2.5847882e-17	1.5707964	3.1415927	1.5707964	-0.99231184	-0.03568869	0	-0.005610512	0.9916879	0	0.0029560677	0.999686	0	0.66	100	2e-09	-100	-40
0	0.354619	0.7434226	0	-2.3414752e-17	-2.5847657e-17	1.5707964	4.712389	1.5707964	0.10227885	0.9875893	0	0.9635221	0.24300143	0	-0.0019438514	0.99967724	0	0.66	100	2e-09	-100	-40
0	0.49700284	0.61196125	0	-2.3411968e-17	-2.584747e-17	3.1415927	0	1.5707964	0.9922025	-0.02628053	0	0.49600562	0.8624943	0	0.002800265	0.99967	0	0.66	100	2e-09	-100	-40
0	-0.33161488	0.65192443	0	-2.3471725e-17	-2.5847882e-17	3.1415927	1.5707964	1.5707964	-0.9923149	-0.035602186	0	-0.005485519	0.9916894	0	0.0029557578	0.99968606	0	0.66	100	2e-09	-100	-40
0	-0.33165604	0.65189654	0	-2.3471725e-17	-2.584788e-17	3.1415927	3.1415927	1.5707964	-0.9923121	-0.035684265	0	-0.0056121266	0.9916879	0	0.0029560612	0.99968606	0	0.66	100	2e-09	-100	-40
0	-0.30673513	0.064573176	0	-2.3237384e-17	-2.5847025e-17	3.1415927	4.712389	1.5707964	-0.9761222	0.18252197	0	0.06006668	-0.98845536	0	-0.004149943	0.999653	0	0.66	100	2e-09	-100	-40
0	0.018929597	0.33054605	0	-2.3444484e-17	-2.584726e-17	4.712389	0	1.5707964	-0.11554495	-0.98624754	0	0.1674361	0.97822374	0	0.004897659	0.99966186	0	0.66	100	2e-09	-100	-40
0	0.018938037	0.33054537	0	-2.3444482e-17	-2.5847258e-17	4.712389	1.5707964	1.5707964	-0.11550476	-0.98625207	0	0.16742115	0.9782262	0	0.0048977165	0.99966186	0	0.66	100	2e-09	-100	-40
0	0.018648393	0.33058277	0	-2.344448e-17	-2.5847258e-17	4.712389	3.1415927	1.5707964	-0.116110094	-0.9861831	0	0.16715756	0.9782695	0	0.004897715	0.999662	0	0.66	100	2e-09	-100	-40
0	0.018928144	0.33054623	0	-2.3444482e-17	-2.5847255e-17	4.712389	4.712389	1.5707964	-0.115546934	-0.98624724	0	0.16743371	0.97822404	0	0.004897663	0.9996618	0	0.66	100	2e-09	-100	-40
0	0.6339101	0.46763182	0	-2.3457732e-17	-2.584719e-17	0	0	1.5707964	0.99258554	0.00060554565	0	0.9086117	0.4026307	0	0.0005333372	0.9996593	0	0.66	100	2e-09	-100	-30
0	0.46348542	0.61694	0	-2.3457575e-17	-2.584714e-17	0	1.5707964	1.5707964	0.99079376	-0.060777467	0	0.3966052	0.91194034	0	0.0030572035	0.9996573	0	0.66	100	2e-09	-100	-30
0	0.46344754	0.61692363	0	-2.3457578e-17	-2.5847138e-17	0	3.1415927	1.5707964	0.99078816	-0.060871992	0	0.39649668	0.91198564	0	0.0030577106	0.9996573	0	0.66	100	2e-09	-100	-30
0	0.63391215	0.4676297	0	-2.3457735e-17	-2.5847194e-17	0	4.712389	1.5707964	0.9925854	0.0006123716	0	0.9086176	0.40261728	0	0.000533266	0.9996594	0	0.66	100	2e-09	-100	-30
