# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	-0.0103043895	0.09895679	0	-3.8111284e-18	-5.788141e-18	0.19634955	3.1415927	0.81	1e-07	1.28e-07	0	4e-09
0	-0.0077169966	0.049235556	0	-3.8127497e-18	-5.787953e-18	0.19634955	3.2397673	0.81	1e-07	1.28e-07	0	4e-09
0	1.249987e-09	2.3026077e-10	0	-3.8153458e-18	-5.7877435e-18	0.19634955	3.3379421	0.81	1e-07	1.28e-07	0	4e-09
0	0.012766994	-0.048264384	0	-3.8189113e-18	-5.787519e-18	0.19634955	3.436117	0.81	1e-07	1.28e-07	0	4e-09
0	0.03045468	-0.09506726	0	-3.823444e-18	-5.7872794e-18	0.19634955	3.5342917	0.81	1e-07	1.28e-07	0	4e-09
0	0.052877165	-0.1399151	0	-3.828939e-18	-5.787019e-18	0.19634955	3.6324666	0.81	1e-07	1.28e-07	0	4e-09
0	0.07978607	-0.18231873	0	-3.835384e-18	-5.7867335e-18	0.19634955	3.7306414	0.81	1e-07	1.28e-07	0	4e-09
0	0.110862665	-0.22180533	0	-3.8427445e-18	-5.786425e-18	0.19634955	3.828816	0.81	1e-07	1.28e-07	0	4e-09
0	0.1457279	-0.2579388	0	-3.8509563e-18	-5.7860986e-18	0.19634955	3.9269907	0.81	1e-07	1.28e-07	0	4e-09
0	0.18394455	-0.29033512	0	-3.8599196e-18	-5.7857735e-18	0.19634955	4.0251656	0.81	1e-07	1.28e-07	0	4e-09
0	0.22503942	-0.31867862	0	-3.8695054e-18	-5.785477e-18	0.19634955	4.12334	0.81	1e-07	1.28e-07	0	4e-09
0	0.26852375	-0.34272724	0	-3.8795598e-18	-5.7852404e-18	0.19634955	4.221515	0.81	1e-07	1.28e-07	0	4e-09
0	0.31390876	-0.36231074	0	-3.8899136e-18	-5.7850936e-18	0.19634955	4.3196898	0.81	1e-07	1.28e-07	0	4e-09
0	0.36072487	-0.37732172	0	-3.9003985e-18	-5.785057e-18	0.19634955	4.417865	0.81	1e-07	1.28e-07	0	4e-09
0	0.40852582	-0.38770208	0	-3.9108582e-18	-5.7851432e-18	0.19634955	4.5160394	0.81	1e-07	1.28e-07	0	4e-09
0	0.45688957	-0.39343065	0	-3.9211575e-18	-5.785348e-18	0.19634955	4.6142144	0.81	1e-07	1.28e-07	0	4e-09
0	0.50541335	-0.39451215	0	-3.931194e-18	-5.7856577e-18	0.19634955	4.712389	0.81	1e-07	1.28e-07	0	4e-09
0	0.5537035	-0.39097124	0	-3.9409023e-18	-5.786047e-18	0.19634955	4.8105636	0.81	1e-07	1.28e-07	0	4e-09
0	0.6013652	-0.3828524	0	-3.9502457e-18	-5.7864824e-18	0.19634955	4.9087386	0.81	1e-07	1.28e-07	0	4e-09
