# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.499197	0.49856582	0	-2.7173723e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.72e-07	0	4e-09
0	0.9975484	-3.5830676e-09	0	-2.7191923e-18	-4.354099e-18	0	0	0.49	1e-07	3.76e-07	0	4e-09
0	0.4991837	0.4985723	0	-2.7173723e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.76e-07	0	4e-09
0	0.9975483	-4.78088e-09	0	-2.7191346e-18	-4.354099e-18	0	0	0.49	1e-07	3.8e-07	0	4e-09
0	0.4991705	0.4985786	0	-2.7173725e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.8e-07	0	4e-09
0	0.9975483	-4.4999235e-09	0	-2.7190792e-18	-4.354099e-18	0	0	0.49	1e-07	3.84e-07	0	4e-09
0	0.4991581	0.4985847	0	-2.7173725e-18	-4.354093e-18	1.5707964	0	0.49	1e-07	3.84e-07	0	4e-09
0	0.9975483	-3.2377798e-09	0	-2.7190258e-18	-4.3540984e-18	0	0	0.49	1e-07	3.88e-07	0	4e-09
0	0.49914622	0.4985905	0	-2.7173725e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.88e-07	0	4e-09
0	0.9975482	-4.0527404e-09	0	-2.718975e-18	-4.3540984e-18	0	0	0.49	1e-07	3.92e-07	0	4e-09
0	0.49913463	0.49859604	0	-2.717372e-18	-4.354094e-18	1.5707964	0	0.49	1e-07	3.92e-07	0	4e-09
0	0.9975482	-4.2128008e-09	0	-2.7189261e-18	-4.3540984e-18	0	0	0.49	1e-07	3.96e-07	0	4e-09
0	0.49912357	0.49860147	0	-2.7173725e-18	-4.3540935e-18	1.5707964	0	0.49	1e-07	3.96e-07	0	4e-09
0	0.9975482	-3.3448282e-09	0	-2.7188788e-18	-4.3540984e-18	0	0	0.49	1e-07	4e-07	0	4e-09
0	0.49911302	0.49860656	0	-2.7173725e-18	-4.3540943e-18	1.5707964	0	0.49	1e-07	4e-07	0	4e-09
0	0.9992567	-4.350724e-09	0	-5.3559583e-19	-1.090389e-18	0	0	0.49	5e-08	5e-08	0	2e-09
0	0.65062416	0.4764473	0	-4.1352723e-19	-1.0567089e-18	1.5707964	0	0.49	5e-08	5e-08	0	2e-09
0	0.9992949	-6.0891017e-09	0	-5.0839937e-19	-1.0904306e-18	0	0	0.49	5e-08	5.2e-08	0	2e-09
0	0.5754125	0.46663412	0	-4.384654e-19	-1.0824677e-18	1.5707964	0	0.49	5e-08	5.2e-08	0	2e-09
0	0.99931955	-4.858718e-09	0	-4.923859e-19	-1.0904574e-18	0	0	0.49	5e-08	5.4e-08	0	2e-09
0	0.5607779	0.47291136	0	-4.3441773e-19	-1.0853353e-18	1.5707964	0	0.49	5e-08	5.4e-08	0	2e-09
0	0.9993356	-5.739514e-09	0	-4.8146487e-19	-1.090475e-18	0	0	0.49	5e-08	5.6e-08	0	2e-09
0	0.5504903	0.47731158	0	-4.3232256e-19	-1.0869599e-18	1.5707964	0	0.49	5e-08	5.6e-08	0	2e-09
0	0.9993466	-5.7681913e-09	0	-4.7343434e-19	-1.0904871e-18	0	0	0.49	5e-08	5.8e-08	0	2e-09
0	0.54283184	0.48058647	0	-4.3109733e-19	-1.0879647e-18	1.5707964	0	0.49	5e-08	5.8e-08	0	2e-09
0	0.99935436	-5.1666555e-09	0	-4.672403e-19	-1.0904956e-18	0	0	0.49	5e-08	6e-08	0	2e-09
0	0.53689486	0.48312905	0	-4.3032138e-19	-1.0886265e-18	1.5707964	0	0.49	5e-08	6e-08	0	2e-09
0	0.9993602	-3.5184056e-09	0	-4.6230494e-19	-1.0905019e-18	0	0	0.49	5e-08	6.2e-08	0	2e-09
0	0.53215504	0.48516357	0	-4.2980183e-19	-1.0890818e-18	1.5707964	0	0.49	5e-08	6.2e-08	0	2e-09
0	0.9993643	-7.787195e-09	0	-4.582788e-19	-1.0905064e-18	0	0	0.49	5e-08	6.4e-08	0	2e-09
0	0.52828705	0.48682952	0	-4.2943916e-19	-1.0894064e-18	1.5707964	0	0.49	5e-08	6.4e-08	0	2e-09
0	0.9993675	-5.9860006e-09	0	-4.549348e-19	-1.0905098e-18	0	0	0.49	5e-08	6.6e-08	0	2e-09
0	0.5250754	0.48821846	0	-4.2917827e-19	-1.089644e-18	1.5707964	0	0.49	5e-08	6.6e-08	0	2e-09
0	0.99937004	-7.602032e-09	0	-4.521186e-19	-1.0905126e-18	0	0	0.49	5e-08	6.8e-08	0	2e-09
0	0.522373	0.4893922	0	-4.2898592e-19	-1.0898217e-18	1.5707964	0	0.49	5e-08	6.8e-08	0	2e-09
0	0.99937195	-4.287225e-09	0	-4.4971964e-19	-1.0905146e-18	0	0	0.49	5e-08	7e-08	0	2e-09
0	0.5200731	0.4903957	0	-4.2884088e-19	-1.0899571e-18	1.5707964	0	0.49	5e-08	7e-08	0	2e-09
0	0.99937356	-5.085062e-09	0	-4.476566e-19	-1.0905164e-18	0	0	0.49	5e-08	7.2e-08	0	2e-09
0	0.51809704	0.49126196	0	-4.2872986e-19	-1.0900614e-18	1.5707964	0	0.49	5e-08	7.2e-08	0	2e-09
0	0.9993746	-8.375758e-09	0	-4.4586793e-19	-1.0905176e-18	0	0	0.49	5e-08	7.4e-08	0	2e-09
0	0.5163861	0.49201554	0	-4.2864362e-19	-1.0901433e-18	1.5707964	0	0.49	5e-08	7.4e-08	0	2e-09
0	0.9993755	-3.652744e-09	0	-4.443062e-19	-1.0905186e-18	0	0	0.49	5e-08	7.6e-08	0	2e-09
0	0.5148931	0.4926762	0	-4.2857587e-19	-1.0902081e-18	1.5707964	0	0.49	5e-08	7.6e-08	0	2e-09
0	0.9993763	-5.9696137e-09	0	-4.429344e-19	-1.0905195e-18	0	0	0.49	5e-08	7.8e-08	0	2e-09
0	0.513584	0.49325818	0	-4.285218e-19	-1.09026e-18	1.5707964	0	0.49	5e-08	7.8e-08	0	2e-09
0	0.99937695	-4.397495e-09	0	-4.417224e-19	-1.0905202e-18	0	0	0.49	5e-08	8e-08	0	2e-09
0	0.5124293	0.49377355	0	-4.2847858e-19	-1.0903021e-18	1.5707964	0	0.49	5e-08	8e-08	0	2e-09
0	0.99937737	-5.88051e-09	0	-4.406465e-19	-1.0905207e-18	0	0	0.49	5e-08	8.2e-08	0	2e-09
0	0.5113737	0.49424744	0	-4.2844347e-19	-1.0903372e-18	1.5707964	0	0.49	5e-08	8.2e-08	0	2e-09
0	0.9993779	-4.495475e-09	0	-4.396869e-19	-1.0905211e-18	0	0	0.49	5e-08	8.4e-08	0	2e-09
0	0.51049024	0.4946444	0	-4.284146e-19	-1.0903642e-18	1.5707964	0	0.49	5e-08	8.4e-08	0	2e-09
0	0.9993781	-5.1666555e-09	0	-4.3882774e-19	-1.0905214e-18	0	0	0.49	5e-08	8.6e-08	0	2e-09
0	0.5096719	0.49501395	0	-4.2839105e-19	-1.0903873e-18	1.5707964	0	0.49	5e-08	8.6e-08	0	2e-09
0	0.99937844	-6.2715766e-09	0	-4.380556e-19	-1.0905218e-18	0	0	0.49	5e-08	8.8e-08	0	2e-09
0	0.5089383	0.4953467	0	-4.2837138e-19	-1.0904064e-18	1.5707964	0	0.49	5e-08	8.8e-08	0	2e-09
0	0.9993786	-5.9074803e-09	0	-4.373593e-19	-1.090522e-18	0	0	0.49	5e-08	9e-08	0	2e-09
