# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
2.0202023565042143e-09	0.97794396	-0.048994176	0.027650874	1.8733637e-18	-0	65
2.0300742017448865e-09	0.97743106	-0.08389971	0.032139048	1.9082982e-18	-0	65
2.0401140079799073e-09	0.9738875	-0.12739468	0.036315322	1.523543e-18	-0	65
2.0500093158050684e-09	0.96274656	-0.16489348	0.023428485	2.3279698e-18	-0	65
2.060062972089953e-09	0.9596653	-0.16980043	0.017828185	2.0493737e-18	-0	65
2.0701014768603443e-09	0.951673	-0.19357993	0.0057297903	4.327006e-18	-0	65
2.0800934309951353e-09	0.94812214	-0.19099143	0.0049438984	1.9544952e-18	-0	65
2.0901015180818424e-09	0.9506379	-0.19852944	-0.0073239785	2.1836758e-18	-0	65
2.1000235603557403e-09	0.9535801	-0.20511709	0.004692275	1.4374259e-18	-0	65
2.1101701854042207e-09	0.9533494	-0.22061576	0.022720609	3.126151e-18	-0	65
2.1200726888961352e-09	0.9504719	-0.24628116	0.025903715	3.2967238e-18	-0	65
2.1300544172246063e-09	0.9433462	-0.27595168	0.018070074	3.0532138e-18	-0	65
2.140166191522503e-09	0.93491876	-0.29956532	0.0180848	3.3961583e-18	-0	65
2.1500713772024675e-09	0.92846674	-0.3135005	0.018603073	9.07582e-19	-0	65
2.160147974374898e-09	0.9219623	-0.3234836	0.010804814	1.6822126e-18	-0	65
2.1701443723196e-09	0.9197422	-0.33285758	0.001365886	2.4523302e-18	-0	65
2.1801439169552714e-09	0.9239959	-0.3312957	0.0023877535	2.345415e-18	-0	65
2.190180331199692e-09	0.92707443	-0.3256182	-0.0056653377	1.6364698e-18	-0	65
2.2000732432765524e-09	0.9349138	-0.29978365	-0.0119527215	4.1875646e-18	-0	65
2.210053790234003e-09	0.9431458	-0.27272046	-0.014002035	2.0161092e-18	-0	65
2.220002654485703e-09	0.9450244	-0.25176293	-0.021673359	1.944275e-18	-0	65
2.2301050197521957e-09	0.9518582	-0.22941731	-0.01900201	2.1703013e-18	-0	65
2.240149894270024e-09	0.9521642	-0.22045177	-0.009382133	3.720419e-18	-0	65
2.2500763271486287e-09	0.95337445	-0.20748608	-0.008943225	2.8108445e-18	-0	65
2.2600321418911786e-09	0.95895594	-0.17789073	-0.01740489	3.0231191e-18	-0	65
2.27014766811911e-09	0.96635884	-0.14408907	-0.0142257605	1.8525702e-18	-0	65
2.280159929230499e-09	0.9681221	-0.15143055	0.002342866	2.489218e-18	-0	65
2.290129634553107e-09	0.9699194	-0.14780416	-0.011366267	1.4593632e-18	-0	65
2.300064899377458e-09	0.9694646	-0.14695144	-0.007887887	1.9416551e-18	-0	65
2.3100867473509413e-09	0.97315335	-0.12821035	-0.008175075	3.1795518e-18	-0	65
2.320107321995434e-09	0.97376806	-0.115439095	-0.0068493136	3.166175e-18	-0	65
2.3301878893375997e-09	0.9726445	-0.118150055	-0.00057216606	3.095077e-18	-0	65
2.3400624272220783e-09	0.97302276	-0.11779426	-0.0041358527	1.5542582e-18	-0	65
2.350053334471619e-09	0.9721398	-0.12863472	-0.012100907	1.8058031e-18	-0	65
2.3601229656894887e-09	0.971775	-0.12025449	-0.010675115	2.595155e-18	-0	65
2.3701762074696707e-09	0.9722063	-0.10199254	-0.016165378	2.213757e-18	-0	65
2.3801724229379215e-09	0.97182393	-0.07446175	-0.019247487	1.1558874e-18	-0	65
2.3901926383575264e-09	0.9748169	-0.025428236	-0.026280373	2.0869544e-18	-0	65
2.400195703141656e-09	0.9721081	0.022597479	-0.03738263	1.2644318e-18	-0	65
2.4101097341534508e-09	0.9746732	0.07848171	-0.042379368	2.7326964e-18	-0	65
2.420146182318625e-09	0.9691996	0.14350542	-0.031652965	2.9642555e-18	-0	65
2.430070274213883e-09	0.96550184	0.17807469	-0.018698705	3.622206e-18	-0	65
2.4400354995441077e-09	0.9671033	0.1839411	-7.7968376e-05	3.509449e-18	-0	65
2.450125820214913e-09	0.96732116	0.18243045	-0.0018981206	2.1522154e-18	-0	65
2.4600369070599505e-09	0.9641069	0.18655832	0.0007495227	2.3087184e-18	-0	65
2.4701076327782162e-09	0.9585013	0.19965167	-0.0072374484	2.7034128e-18	-0	65
2.4800775361420203e-09	0.955252	0.2013263	0.0010866123	3.2408823e-18	-0	65
2.4901972251624743e-09	0.95734894	0.16737795	0.0063741016	2.219531e-18	-0	65
2.500005685532116e-09	0.96209466	0.14149693	0.009454611	2.9111273e-18	-0	65
2.5101276373898975e-09	0.9664094	0.13287486	0.0210132	3.333109e-18	-0	65
2.520001963074753e-09	0.97662234	0.078037106	0.034220494	2.1019433e-18	-0	65
2.5301337673421796e-09	0.98162687	0.038733065	0.025279293	1.804195e-18	-0	65
2.5401763848321437e-09	0.98346996	0.0015666301	0.02925553	1.802766e-18	-0	65
2.5501541738035908e-09	0.98454493	-0.019883102	0.013167347	3.0656134e-18	-0	65
2.5601320536886434e-09	0.9819613	-0.034308553	0.009790035	3.2184634e-18	-0	65
2.570004412781788e-09	0.97668815	-0.042432565	0.005214777	3.855501e-18	-0	65
2.580064240750755e-09	0.9740895	-0.060807887	0.016676284	1.9543068e-18	-0	65
2.5901907846950973e-09	0.9701465	-0.07841379	0.024459267	2.0352634e-18	-0	65
2.6001074837868146e-09	0.96816593	-0.11636825	0.018520327	3.2426506e-18	-0	65
2.61002945598308e-09	0.96908116	-0.14201222	0.008332101	2.3556565e-18	-0	65
2.6200230091937526e-09	0.9715846	-0.13849282	-0.004413066	2.548883e-18	-0	65
2.6300641585102773e-09	0.9740576	-0.12597033	-0.007038188	1.9640103e-18	-0	65
2.640015738767259e-09	0.972721	-0.12256947	0.0029698953	2.5234673e-18	-0	65
2.650009887561845e-09	0.97240555	-0.11001825	-0.000630803	2.498511e-18	-0	65
2.6601344627430993e-09	0.96996146	-0.11284121	-0.0027371675	3.3442397e-18	-0	65
2.6701672294948925e-09	0.96838427	-0.12407297	-0.00042798457	1.3404374e-18	-0	65
2.6801759943245282e-09	0.9661328	-0.12173978	-0.0013653309	2.1651676e-18	-0	65
2.6901622176959154e-09	0.96500784	-0.10648309	-0.005731678	3.826076e-18	-0	65
2.7001283185061877e-09	0.9682104	-0.101769246	0.0016756058	4.036574e-18	-0	65
2.710059277329221e-09	0.9722063	-0.100239575	0.0037698606	2.1373797e-18	-0	65
