# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
1.5100196137290514e-09	0.3894187	0.88883287	-0.0026743123	5.89903e-18	-0	0.49	100	300	0.009999999	2e-09
1.5200012638831148e-09	0.38745892	0.8911333	0.00017929936	6.453233e-18	-0	0.49	100	300	0.009999999	2e-09
1.5300434223840495e-09	0.38640714	0.89410454	-0.0022046696	6.2440407e-18	-0	0.49	100	300	0.009999999	2e-09
1.5400020552048149e-09	0.37839252	0.89960647	-0.0034854272	6.3728658e-18	-0	0.49	100	300	0.009999999	2e-09
1.5500046656683502e-09	0.37927827	0.8972728	-0.004096594	6.5804422e-18	-0	0.49	100	300	0.009999999	2e-09
1.5600415246265838e-09	0.37105095	0.90109444	-0.0036429807	5.3600034e-18	-0	0.49	100	300	0.009999999	2e-09
1.5700469379139123e-09	0.36795017	0.9057173	-0.0051098266	6.632175e-18	-0	0.49	100	300	0.009999999	2e-09
1.5800438796197893e-09	0.36165828	0.9074388	-0.007583385	5.722523e-18	-0	0.49	100	300	0.009999999	2e-09
1.5900242241837594e-09	0.35117075	0.9110206	-0.010448398	6.118981e-18	-0	0.49	100	300	0.009999999	2e-09
1.6000443561346147e-09	0.34095338	0.9148062	-0.008753775	7.0384864e-18	-0	0.49	100	300	0.009999999	2e-09
1.6100489149627606e-09	0.32351127	0.9223779	-0.007326631	6.3227126e-18	-0	0.49	100	300	0.009999999	2e-09
1.6200319075627734e-09	0.30372006	0.92909145	-0.01001858	6.0597775e-18	-0	0.49	100	300	0.009999999	2e-09
1.630013365818106e-09	0.29426542	0.93303764	-0.010418027	6.853761e-18	-0	0.49	100	300	0.009999999	2e-09
1.6400405461102334e-09	0.27990925	0.9378286	-0.014975815	6.010795e-18	-0	0.49	100	300	0.009999999	2e-09
1.6500077592875118e-09	0.26453343	0.9417973	-0.0110270735	6.0688203e-18	-0	0.49	100	300	0.009999999	2e-09
1.6600047726686321e-09	0.24867146	0.94360423	-0.01315413	6.700913e-18	-0	0.49	100	300	0.009999999	2e-09
1.670020086349192e-09	0.22639634	0.9456682	-0.016764775	7.588229e-18	-0	0.49	100	300	0.009999999	2e-09
1.680033060953385e-09	0.20004874	0.9504758	-0.020171583	6.5316965e-18	-0	0.49	100	300	0.009999999	2e-09
1.6900437922737448e-09	0.17219149	0.9579901	-0.02037617	7.251693e-18	-0	0.49	100	300	0.009999999	2e-09
1.7000265439392515e-09	0.14663371	0.96659964	-0.024488337	6.5341213e-18	-0	0.49	100	300	0.009999999	2e-09
1.7100197660308008e-09	0.11030048	0.9734563	-0.027507374	6.5599794e-18	-0	0.49	100	300	0.009999999	2e-09
1.7200188030639054e-09	0.07894548	0.9764893	-0.023622122	6.581378e-18	-0	0.49	100	300	0.009999999	2e-09
1.7300137650188827e-09	0.044672556	0.9759206	-0.02367685	6.370323e-18	-0	0.49	100	300	0.009999999	2e-09
1.740043330498837e-09	0.019097779	0.9733996	-0.017572923	6.7783224e-18	-0	0.49	100	300	0.009999999	2e-09
1.750041001650374e-09	0.0031781609	0.9743186	-0.013587581	5.8050237e-18	-0	0.49	100	300	0.009999999	2e-09
1.760037898081273e-09	-0.02021804	0.976771	-0.00852082	5.6376875e-18	-0	0.49	100	300	0.009999999	2e-09
1.77000235981049e-09	-0.03330273	0.9783589	-0.009901664	5.679826e-18	-0	0.49	100	300	0.009999999	2e-09
1.7800064767019953e-09	-0.045964036	0.9792491	-0.011457221	6.3216133e-18	-0	0.49	100	300	0.009999999	2e-09
1.7900452214101294e-09	-0.05583978	0.9774959	-0.008747349	6.941179e-18	-0	0.49	100	300	0.009999999	2e-09
1.800024912299814e-09	-0.061903782	0.974875	-0.0052655153	6.963744e-18	-0	0.49	100	300	0.009999999	2e-09
1.810035704586358e-09	-0.060806807	0.9722947	-0.0013092008	6.1406125e-18	-0	0.49	100	300	0.009999999	2e-09
1.8200400860647222e-09	-0.05855931	0.9720031	0.00026527033	6.482908e-18	-0	0.49	100	300	0.009999999	2e-09
1.8300054750470202e-09	-0.057567608	0.97575635	0.00016316876	6.291008e-18	-0	0.49	100	300	0.009999999	2e-09
1.8400440334299137e-09	-0.063495375	0.9773788	-0.0009687375	6.270027e-18	-0	0.49	100	300	0.009999999	2e-09
1.8500118202246167e-09	-0.06669284	0.9766542	-0.0021681897	6.6709267e-18	-0	0.49	100	300	0.009999999	2e-09
1.8600025698797011e-09	-0.07113224	0.9727051	-0.0057172826	6.357711e-18	-0	0.49	100	300	0.009999999	2e-09
1.87002319413964e-09	-0.07801982	0.9694917	-0.00598609	5.8325407e-18	-0	0.49	100	300	0.009999999	2e-09
1.880047218855643e-09	-0.07890616	0.96927536	-0.0036449807	6.718406e-18	-0	0.49	100	300	0.009999999	2e-09
1.890011067417325e-09	-0.08455009	0.971493	0.0015604569	6.5654694e-18	-0	0.49	100	300	0.009999999	2e-09
1.9000323004813244e-09	-0.08034812	0.97486603	-0.00050532573	6.9332467e-18	-0	0.49	100	300	0.009999999	2e-09
1.9100063164363002e-09	-0.08333039	0.9765003	-0.003334467	6.2107127e-18	-0	0.49	100	300	0.009999999	2e-09
1.9200217201723534e-09	-0.08261191	0.97546047	-0.00030685886	5.8465506e-18	-0	0.49	100	300	0.009999999	2e-09
1.9300426365021777e-09	-0.081720546	0.97269297	0.0043794885	6.046485e-18	-0	0.49	100	300	0.009999999	2e-09
1.940043787258568e-09	-0.068629056	0.97070616	0.0050503123	6.0759282e-18	-0	0.49	100	300	0.009999999	2e-09
1.9500083511729014e-09	-0.05963911	0.97016704	0.0062990426	6.5462904e-18	-0	0.49	100	300	0.009999999	2e-09
1.9600394221538006e-09	-0.0503954	0.9738163	0.008266716	7.128877e-18	-0	0.49	100	300	0.009999999	2e-09
